Date,Description,Amount
1/31/25,Product Charges,9600
1/31/25,Refunds,-480
1/31/25,ShippingCharge,105.6
1/31/25,Commission,-1440
1/31/25,FBAPerUnitFulfillmentFee,-2016
1/31/25,FBAStorageFee,-131
1/31/25,MarketplaceFacilitatorVAT-Principal,0
1/31/25,MiscAdjustment,0
2/28/25,Product Charges,10800
2/28/25,Refunds,-540
2/28/25,ShippingCharge,118.8
2/28/25,Commission,-1620
2/28/25,FBAPerUnitFulfillmentFee,-2268
2/28/25,FBAStorageFee,-142
2/28/25,MarketplaceFacilitatorVAT-Principal,0
2/28/25,MiscAdjustment,0
3/31/25,Product Charges,11200
3/31/25,Refunds,-560
3/31/25,ShippingCharge,123.2
3/31/25,Commission,-1680
3/31/25,FBAPerUnitFulfillmentFee,-2520
3/31/25,FBAStorageFee,-153
3/31/25,MarketplaceFacilitatorVAT-Principal,0
3/31/25,MiscAdjustment,0
4/30/25,Product Charges,11800
4/30/25,Refunds,-767
4/30/25,ShippingCharge,129.8
4/30/25,Commission,-1770
4/30/25,FBAPerUnitFulfillmentFee,-2478
4/30/25,FBAStorageFee,-164
4/30/25,MarketplaceFacilitatorVAT-Principal,0
4/30/25,MiscAdjustment,0
5/31/25,Product Charges,14200
5/31/25,Refunds,-710
5/31/25,ShippingCharge,156.2
5/31/25,Commission,-2130
5/31/25,FBAPerUnitFulfillmentFee,-2982
5/31/25,FBAStorageFee,-175
5/31/25,MarketplaceFacilitatorVAT-Principal,0
5/31/25,MiscAdjustment,0
6/30/25,Product Charges,13800
6/30/25,Refunds,-690
6/30/25,ShippingCharge,151.8
6/30/25,Commission,-2070
6/30/25,FBAPerUnitFulfillmentFee,-3105
6/30/25,FBAStorageFee,-186
6/30/25,MarketplaceFacilitatorVAT-Principal,0
6/30/25,MiscAdjustment,0
7/31/25,Product Charges,19600
7/31/25,Refunds,-980
7/31/25,ShippingCharge,215.6
7/31/25,Commission,-2940
7/31/25,FBAPerUnitFulfillmentFee,-4116
7/31/25,FBAStorageFee,-197
7/31/25,MarketplaceFacilitatorVAT-Principal,0
7/31/25,MiscAdjustment,0
8/31/25,Product Charges,16400
8/31/25,Refunds,-1066
8/31/25,ShippingCharge,180.4
8/31/25,Commission,-2460
8/31/25,FBAPerUnitFulfillmentFee,-3444
8/31/25,FBAStorageFee,-208
8/31/25,MarketplaceFacilitatorVAT-Principal,0
8/31/25,MiscAdjustment,0
9/30/25,Product Charges,10900
9/30/25,Refunds,-545
9/30/25,ShippingCharge,119.9
9/30/25,Commission,-1635
9/30/25,FBAPerUnitFulfillmentFee,-2452.5
9/30/25,FBAStorageFee,-219
9/30/25,MarketplaceFacilitatorVAT-Principal,0
9/30/25,MiscAdjustment,0
10/31/25,Product Charges,12100
10/31/25,Refunds,-605
10/31/25,ShippingCharge,133.1
10/31/25,Commission,-1815
10/31/25,FBAPerUnitFulfillmentFee,-2541
10/31/25,FBAStorageFee,-285
10/31/25,MarketplaceFacilitatorVAT-Principal,0
10/31/25,MiscAdjustment,0
11/30/25,Product Charges,8800
11/30/25,Refunds,-440
11/30/25,ShippingCharge,96.8
11/30/25,Commission,-1320
11/30/25,FBAPerUnitFulfillmentFee,-1848
11/30/25,FBAStorageFee,-296
11/30/25,MarketplaceFacilitatorVAT-Principal,0
11/30/25,MiscAdjustment,0
12/31/25,Product Charges,7900
12/31/25,Refunds,-513.5
12/31/25,ShippingCharge,86.9
12/31/25,Commission,-1185
12/31/25,FBAPerUnitFulfillmentFee,-1777.5
12/31/25,FBAStorageFee,-307
12/31/25,MiscPlatformFee,-75
12/31/25,MarketplaceFacilitatorVAT-Principal,0
12/31/25,MiscAdjustment,0
